date,price_TL,price_DLR,excrate_s,excrate_b,elec_consumption,noc,cpi,cpi_diff, house_sell , weather_forecast ,working_day,
1.2.2019,257.05,48.86,5.26,5.27,"63,084.28","209,853",406.91,0.08,691.00, 7.4   ,20,
1.3.2019,256.04,47.08,5.44,5.45,"60,880.45","210,410",410.14,0.79,710.00, 10.1   ,21,
1.4.2019,187.15,32.73,5.74,5.75,"58,810.24","211,044",417.23,1.73,769.00, 12.5   ,21,
1.5.2019,196.17,32.43,6.05,6.06,"56,617.10","211,609",420.77,0.85,768.00, 19.2   ,22,
1.6.2019,221.32,38.03,5.81,5.82,"63,805.27","212,157",422.03,0.30,566.00, 23.3   ,17,
1.7.2019,304.55,53.70,5.67,5.68,"65,222.26","212,848",428.87,1.62,993.00, 23.5   ,23,
1.8.2019,298.30,53.20,5.62,5.63,"68,487.03","213,433",431.29,0.56,970.00, 24.1   ,18,
1.9.2019,297.90,47.72,5.71,5.72,"62,959.94","214,139",435.69,1.02,"1,046.00", 20.7   ,21,
1.10.2019,291.61,50.49,5.78,5.79,"57,140.79","214,877",443.38,1.77,"1,001.00", 17.9   ,21,
1.11.2019,297.87,52.08,5.73,5.74,"58,833.58","215,453",444.8,0.32,"1,046.00", 15.8   ,21,
1.12.2019,291.32,50.03,5.84,5.85,"60,139.55","216,052",448.26,0.78,"1,533.00", 10.3   ,22,
1.1.2020,314.61,53.20,5.92,5.93,"68,725.98","216,701",453.63,1.20,852.00, 7.4   ,22,
1.2.2020,298.41,49.45,6.04,6.06,"64,921.97","217,265",456.04,0.53,893.00, 9.4   ,19,
1.3.2020,245.09,38.92,6.31,6.33,"62,012.63","217,837",459.02,0.65,912.00, 10.6   ,22,
1.4.2020,181.16,26.54,6.82,6.83,"54,288.03","218,133",463.27,0.93,237.00, 12.0   ,21,
1.5.2020,203.22,29.32,6.95,6.96,"53,096.16","218,424",470.8,1.63,282.00, 17.0   ,17,
1.6.2020,291.31,42.78,6.81,6.82,"57,096.10","219,247",477.13,1.34,"1,255.00", 22.1   ,22,
1.7.2020,296.36,43.27,6.85,6.86,"68,368.28","220,223",481.38,0.89,"1,630.00", 24.1   ,21,
1.8.2020,298.70,41.40,7.25,7.27,"70,311.81","221,152",486.15,0.99,"1,485.00", 24.3   ,20,
1.9.2020,308.20,41.18,7.51,7.52,"65,410.80","222,075",490.47,0.89,"1,340.00", 23.0   ,22,
1.10.2020,318.70,40.49,7.87,7.89,"65,338.32","222,907",500.23,1.99,"1,144.00", 19.0   ,20,
1.11.2020,295.51,37.07,8.00,8.02,"61,723.22","223,477",510.97,2.15,"1,073.00", 12.2   ,21,
1.12.2020,293.34,37.91,7.72,7.73,"66,836.94","223,974",517.03,1.19,997.00, 14.6   ,23,
1.1.2021,297.72,40.28,7.39,7.41,"68,634.59","964,407",526.10,1.75,652.00, 9.9   ,20,
1.2.2021,286.89,40.54,7.07,7.09,"61,812.75","224,862",531.95,1.11,737.00, 8.0   ,20,
1.3.2021,311.41,41.11,7.63,7.64,"68,632.43","225,489",537.59,1.06,"1,058.00", 7.8   ,22,
1.4.2021,312.15,38.24,8.16,8.17,"68,798.28","226,029",545.74,1.52,988.00, 12.6   ,21,
1.5.2021,360.59,43.31,8.34,8.36,"59,022.37","226,399",551.75,1.10,592.00, 18.0   ,17,
1.6.2021,402.03,46.77,8.60,8.61,"64,100.27","227,142",565.71,2.53,"1,239.00", 20.6   ,22,
1.7.2021,518.37,60.28,8.61,8.63,"67,794.32","227,724",574.13,1.49,962.00, 24.9   ,16,
1.8.2021,557.37,65.78,8.48,8.49,"79,607.37","228,386",580.53,1.11,"1,516.00", 24.8   ,21,
1.9.2021,520.86,61.33,8.51,8.53,"67,715.31","228,970",589.59,1.39,"1,464.00", 21.9   ,22,
1.10.2021,669.93,73.1,9.14,9.16,"66,182.42","229,599",604.24,2.66,"1,266.00", 18.9   ,20,
1.11.2021,830.96,80.27,10.52,10.54,"66,295.68","230,071",626.67,3.71,"1,490.00", 13.9   ,22,
1.12.2021,"1,008.64",74.89,13.53,13.55,"74,258.40","230,736",715.67,14.20,"1,880.00", 11.0   ,23,
1.1.2022,"1,117.99",87.27,13.52,13.54,"75,557.06","231,217",796.94,11.36,880.00, 7.3   ,21
1.2.2022,"1,404.50",103.15,13.62,13.65,"71,355.30","231,712",838.78,5.25,"1,078.00", 8.4   ,20
