index,Price_TL,Price_UDS,Exc_Rate,Elec_Consumption,Noc,Price_Index,Price_Index_2, House_Sell,Weather_Forecast,Working_Day
1.6.2019,221.32,38.03,5.81,756619.27,944423.00,422.03,0.30,1356.00,24.19,17.00
1.7.2019,304.55,53.70,5.67,844195.90,946745.00,428.87,1.62,2255.00,24.26,23.00
1.8.2019,298.30,53.20,5.62,717520.42,948513.00,431.29,0.56,2362.00,24.97,18.00
1.9.2019,297.90,47.72,5.71,852060.48,952143.00,435.69,1.02,3264.00,21.84,21.00
1.10.2019,291.61,50.49,5.78,845054.70,955476.00,443.38,1.77,3191.00,19.25,21.00
1.11.2019,297.87,52.08,5.73,845376.99,957649.00,444.80,0.32,3078.00,16.92,21.00
1.12.2019,291.32,50.03,5.84,901719.07,961300.00,448.26,0.78,4464.00,10.11,22.00
1.1.2020,314.61,53.20,5.92,872381.79,964407.00,453.63,1.20,2599.00,6.89,22.00
1.2.2020,298.41,49.45,6.04,848108.99,966793.00,456.04,0.53,2526.00,9.26,19.00
1.3.2020,245.09,38.92,6.31,851703.62,968431.00,459.02,0.65,2348.00,11.38,22.00
1.4.2020,181.16,26.54,6.82,618631.84,969551.00,463.27,0.93,907.00,13.00,21.00
1.5.2020,203.22,29.32,6.95,677522.83,970680.00,470.80,1.63,1117.00,18.73,17.00
1.6.2020,291.31,42.78,6.81,820247.16,972267.00,477.13,1.34,4886.00,23.30,22.00
1.7.2020,296.36,43.27,6.85,844961.94,975124.00,481.38,0.89,6592.00,24.88,21.00
1.8.2020,298.70,41.40,7.25,883213.52,976837.00,486.15,0.99,4387.00,26.90,20.00
1.9.2020,308.20,41.18,7.51,920696.57,979470.00,490.47,0.89,3519.00,25.52,22.00
1.10.2020,318.70,40.49,7.87,927054.99,982051.00,500.23,1.99,2892.00,22.26,20.00
1.11.2020,295.51,37.07,8.00,923007.09,985014.00,510.97,2.15,2661.00,15.04,21.00
1.12.2020,293.34,37.91,7.72,992470.45,988841.00,517.03,1.19,2336.00,14.93,23.00
1.1.2021,297.72,40.28,7.39,927007.79,992444.00,526.10,1.75,1493.00,11.74,20.00
1.2.2021,286.89,40.54,7.07,894369.36,994580.00,531.95,1.11,1806.00,8.83,20.00
1.3.2021,311.41,41.11,7.63,978345.71,996937.00,537.59,1.06,2587.00,8.65,22.00
1.4.2021,312.15,38.24,8.16,906409.68,999089.00,545.74,1.52,2272.00,13.66,21.00
1.5.2021,360.59,43.31,8.34,861675.17,1000945.00,551.75,1.10,1447.00,20.04,17.00
1.6.2021,402.03,46.77,8.60,933627.56,1003020.00,565.71,2.53,3567.00,20.04,22.00
1.7.2021,518.37,60.28,8.61,864689.49,1004627.00,574.13,1.49,2631.00,26.62,16.00
1.8.2021,557.37,65.78,8.48,1013006.11,1007206.00,580.53,1.11,3416.00,27.15,21.00
1.9.2021,520.86,61.33,8.51,949730.76,1008852.00,589.59,1.39,3582.00,17.70,22.00
1.10.2021,669.93,73.10,9.14,943812.15,1010675.00,604.24,2.66,3423.00,13.10,20.00
1.11.2021,830.96,80.27,10.52,956859.72,1012713.00,626.67,3.71,4499.00,10.90,22.00
1.12.2021,1008.64,74.89,13.53,994231.40,1015350.00,715.67,14.20,5797.00,8.90,23.00
1.1.2022,1117.99,87.27,13.52,569089.98,1017812.00,796.94,11.36,2801.00,3.70,21.00
1.2.2022,1404.50,103.15,13.62,982566.30,1019854.00,838.78,5.25,2877.00,6.00,20.00
